movie_name,award_category,award_year,country,speech
The Counterfeiters,Foreign Language Film,2007 (80th),Austria,"[<p class=""MInormal""> STEFAN RUZOWITZKY:<br/>
Thank you very much.  There have been some great Austrian filmmakers working here, thinking of Billy Wilder, Fred Zinnemann, Otto Preminger.  Most of them had to leave my country because of the Nazis, so it sort of makes sense that the first Austrian movie to win an Oscar is about the Nazis' crimes.  Making this movie, I had a most brilliant cast, a wonderful crew, the best of all families to support me at home; so actually it was easy for me.  Thank you very much.<br/>
</p>]"
Departures,Foreign Language Film,2008 (81st),Japan,"[<p class=""MInormal""> YOJIRO TAKITA:<br/>
Thank you to all the Academy.  Thank you to everybody who helped me with this film.  I'm very, very happy.  Thank you.  I am here because of films.  This is a new ""departure"" for me and I will, we will be back, I hope.  Thank you. Arigato.  Thank you.<br/>
</p>]"
The Secret in Their Eyes,Foreign Language Film,2009 (82nd),Argentina,"[<p class=""MInormal""> JUAN JOSÉ CAMPANELLA:<br/>
It is on behalf of a crew and cast that, comprised mostly of people that I love and that are very close to my heart, that I want to thank the Academy for not considering Na'vi a foreign language, first of all.  And for letting us spend three great days in the company of incredible filmmakers.  On a personal note, I would love to thank my producers Gerardo Herrero, Mariela Besuievsky, Vanessa Ragone, Axel Kuschevatzky and Telefe.  Tom Bernard... Sorry.  In English it's more difficult, it's a little slower.  No! No!  Oh, countdown...oh, okay.  Tom Bernard and Michael Barker from Sony Classics.  And Cecilia, you found a guy stuck in development hell and made something watchable out of him.  Thank you so much.  I love you.  I owe you.  What, do I...?  Please wrap up.  How...?  [Music begins to play.]  Thank you.  Thank you, thank you, thank you.  Vamos Argentina y un abrazo a los hermanos de Chile.<br/>
</p>]"
In a Better World,Foreign Language Film,2010 (83rd),Denmark,"[<p class=""MInormal""> SUSANNE BIER:<br/>
This is a real Oscar.  Mor og far... Alice and Gabriel*.  Thank you so much, the Academy.  What an honor.  I am so truly honored and grateful and happy, thank you very much.   I really need to congratulate my fellow nominees whose movies were amazing.  And I really want to thank Tom Bernard and Michael Barker at Sony Classics for believing so strongly ""In a Better World.""  All my, all my creative partners, whether they are in this room or in Denmark or Sweden, this one belongs to all of you as much as it belongs to me.  Thank you very much.<br/>
</p>]"
A Separation,Foreign Language Film,2011 (84th),Iran,"[<p class=""MInormal""> ASGHAR FARHADI:<br/>
I would like to thank the Academy, and Sony Pictures Classics and my dear friends Michael Barker and Tom Bernard. Salam be mardomeh khobeh sarzaminam.<br/>
<br/>
At this time many Iranians all over the world are watching us and I imagine them to be very happy. They are happy not just because of an important award or a film or a filmmaker, but because at the time when talk of war, intimidation, and aggression is exchanged between politicians, the name of their country, Iran, is spoken here through her glorious culture, a rich and ancient culture, that has been hidden under the heavy dust of politics. I proudly offer this award to the people of my country, the people who respect all cultures and civilizations and despise hostility and resentment. Thank you so much.  Thank you.<br/>
</p>]"
Amour,Foreign Language Film,2012 (85th),Austria,"[<p class=""MInormal""> MICHAEL HANEKE:<br/>
Thank you very much for this honor. I have to thank Michael Barker, Tom Bernard from Sony Classics, thank you very much. Thank you to my producers. They are here, all: Margaret Menegoz, Michael Katz, Veit Heiduschka, Stefan Arndt. Thank you to my great crew. Thank you to my wife, she was member of the crew. She's supporting me since thirty years. You are the center of my life. And thank you, above all, to my both main actors, Emmanuelle Riva et Jean-Louis Trintignant, because without them I will not stay here. Thank you.<br/>
</p>]"
The Great Beauty,Foreign Language Film,2013 (86th),Italy,"[<p class=""MInormal""> PAOLO SORRENTINO:<br/>
Okay, thank you to the Academy. Thank you to Toni and Nicola and all the actors, producers and the crew. Thank you to my sources of inspiration: Federico Fellini, Talking Heads, Martin Scorsese, and Diego Armando Maradona. And thank you to Roma and to Napoli and my personal great beauty, Daniela, Anna e Carlo. And thank you to my brother Marco, my sister Daniela, and this is for my parents [unintelligible]. Thank you very much. Thank you.<br/>
</p>]"
Ida,Foreign Language Film,2014 (87th),Poland,"[<p class=""MInormal""> PAWEL PAWLIKOWSKI:<br/>
Ah, god. How did I get here? We made a film about – as you saw, black and white – about the need for silence and withdrawal from the world and contemplation. And here we are at the epicenter of noise and world attention. Fantastic, you know, life is full of surprises.<br/>
<br/>
So, I'd like to thank the Academy. I'm honored, surprised and overwhelmed. I'd like to thank the people who backed our film: the producers, Eric Abraham of Portobello, Piotr Dzieciol, Agnieszka Odorowicz of the Polish Film Institute, and many others. They backed – oh, and a U.S. distributor who did a great job [music begins to play] for very little money. Oh, wrap up. Good, okay. So, quickly to the… And to my Polish friends who are in front of the TV. The crew who were in the trenches with us and who are totally drunk now. And you are fantastic, you were brilliant. You carried me through this film. And you are what I love about Poland. You're resilient, courageous, brave and funny. [Music builds to a loud crescendo.] And you can take a drink. And ""Ida,"" I would like to dedicate it to my late wife [music ends] and my parents, who are not among the living but who are totally inside this film, and they have a lot to do with the film. And my children, who are hopefully watching, who are still alive. [Audience applause builds loudly.] Thank you, thank you. Victor and Maria... [Music begins again.] Victor and Maria, I love you. You are the main prize. Thank you.<br/>
</p>]"
Son of Saul,Foreign Language Film,2015 (88th),Hungary,"[<p class=""MInormal""> LÁSZLÓ NEMES:<br/>
Wow. Thanks to the Academy for this incredible honor. Thank you to Sony Pictures Classics, Tom Bernard and Michael Barker for supporting us. Thanks to Hungary for funding this film. I want to share this with Géza Röhrig, my main actor, and the incredible cast and crew that believe in this project when no one else did. You know, even in the darkest hours of mankind, when in the darkest hours of mankind, there might be a voice within us that allows us to remain human. That's the hope of this film. Thank you very much. Thank you.<br/>
<br/>
=============================<br/>
<br/>
Thank you scroll (as it appeared on the live broadcast):<br/>
László Nemes would like to thank: Clara Royer, Matthieu Taponier, Balázs Krasznahorkai, Zsófia Princz, László Rajk, Eva Zabezsinszkij, Anikó Kiss, Jacques Marcovich, Hungarian Film Fund, Claims Conference, François Yon, Nicolas Brigaud-Robert, Films Distribution, Thierry Frémaux, Christian Jeune, Georges Goldenstern, Melody Korenbrot, Sophie Gluck, Ziggy Kozlowksi, Gergely Csepregi, István Kolos, Zoltán Gyovai, Robert Vámos, Éva Kelényi &amp; Jerusalem International Film Lab.<br/>
</p>]"
The Salesman,Foreign Language Film,2016 (89th),Iran,"[<p class=""MInormal""> ANOUSHEH ANSARI:<br/>
I will be reading a statement by Mr. Farhadi: It's a great honor to be receiving this valuable award for the second time. I would like to thank the members of the Academy, my crew in Iran, my producer Alexandre Mallet-Guy, Cohen Media, Amazon and my fellow nominees in the foreign film category. I'm sorry I'm not with you tonight. My absence is out of respect for the people of my country and those of other six nations whom have been disrespected by the inhumane law that bans entry of immigrants to the U.S. Dividing the world into the us and our enemies categories creates fear, a deceitful justification for aggression and war. These wars prevent democracy and human rights in countries which have themselves been victims of aggression. Filmmakers can turn their cameras to capture shared human qualities and break stereotypes of various nationalities and religions. They create empathy between us and others, an empathy which we need today more than ever.<br/>
<br/>
Thank you on behalf of Mr. Farhadi. Thank you.<br/>
</p>]"
A Fantastic Woman,Foreign Language Film,2017 (90th),Chile,"[<p class=""MInormal""> SEBASTIÁN LELIO (director):<br/>
Thank you so much. This is an amazing gift. Thank you to the Academy. I want to, well, thank my dear friends and producers Juan De Dios and Pablo Larraín. I want to thank the cast of the film, especially the brilliant actor Francisco Reyes, and the inspiration for this movie, Daniela Vega. This film was made by a lot of friends and artists; I share this with all of you tonight. I want to thank Eryn Brown and Sophie Dolan. Everyone from Sony Classics, Tom Bernard, Michael Barker, Participant Media, Setembro Cine, Komplizen Films. And my wife Virginia, I love you forever. Thank you so, so much.<br/>
</p>]"
Roma,Foreign Language Film,2018 (91st),Mexico,"[<p class=""MInormal""> ALFONSO CUARÓN (director):<br/>
Thank you. Am I going to get subtitled as well? Thank you, Yalitza. Thank you, Marina. Thank you, Gabriela, Nico, all the cast and crew. I grew up watching foreign language films and learning so much from them and being inspired. Films like the ""Citizen Kane,"" ""Jaws,"" ""Rashomon,"" ""The Godfather"" and ""Breathless."" When asked about the Nouvelle Vague(?), about the New Wave, Claude Chabrol said, ""There are no waves, there's only the ocean."" And I think that the nominees tonight have proven that we are part of the same ocean. I want to thank my family, Mexico for be[ing] the beach where this film comes from, and also to Olmo, Bu and Jonás, to be the current that pushes my drift. Thank you so much.<br/>
</p>]"
Parasite,International Feature Film,2019 (92nd),South Korea,"[<p class=""MInormal""> [Ed. Note: Bong spoke in a combination of English and Korean. Comments in Korean were translated onstage by translator Sharon Choi.]<br/>
<br/>
BONG JOON HO (director):<br/>
[In English:] Thank you, a great honor. [Via translator:] The category has a new name now, from Best Foreign Language to Best International Feature Film. I'm so happy to be its first recipient under the new name. I applaud and support the new direction that this change symbolizes. All our loving crew members and cast members are here with us today. Please send a round of applause to the actors and crew members of ""Parasite."" [In English:] And our great cinematographer Hong Kyung Pyo, and production designer Lee Ha Jun, and editor Yang Jinmo. [Via translator:] I congratulate all the great artists here tonight. I also thank everyone at Barunson, CJ, and Neon who allowed me to actualize my vision. [In English:] Thank you, and yeah, I'm ready to drink tonight. Until next morning. Thank you.<br/>
</p>]"
Another Round,International Feature Film,2020 (93rd),Denmark,"[<p class=""MInormal""> THOMAS VINTERBERG (director):<br/>
Wow. Thank you very much. Thanks to the Academy for voting on this film. This is beyond anything I could ever imagine. Except this is something I've always imagined [laughs]. Since I was five or something, I've been preparing speeches – in train stations, at school, in the toilet. And here I am. It's real. It's amazing. Wow.<br/>
<br/>
This is a film about letting go of control in life, as I lost control in my own. And I want to thank my wife Helene, who sits over here, for being the angel of this project, for guiding me through this very difficult period. I want to thank my children, my family: Nanna, Ida, Albert, Lily. My screenwriter Tobias Lindholm, who's my guardian angel in both living and writing, I'm sending you my praises. There's a lot of people to thank but I'll, I'll get there. I'm sending my praises to Zentropa, Sisse, Kasper, Peter, Feder, Kornum, all of you. You had so much heart, so much strength at the same time. The crew, who threw everything they had in their hands to rescue me, and rescued this film. The investors, my agents, distributors. Samuel Goldwyn, Bart Walker, all of you, Christina Bazdekis, Jessica Sykes, Bumble. You're all there. Cinetic, thank you for showing the bravery of investing in a movie that is about four depraved white drunk men, basically. Who teaches children to drink, as well. I mean, pretty uphills in my perspective. Those four white men being Magnus Millang, Lars Ranthe, Thomas Bo Larsen, my old friend – the whole cast, you were brilliant. Susse, Maria, all of you, took out your hearts for this and were brilliant. I want to send a special thank, of course, to Mads Mikkelsen, [exclaims!], Mads Mikkelsen. Yeah, give him a hand. Mads, you gave us your finest. Not just for the film, but for my daughter as well. And I'll never forget.<br/>
<br/>
Okay, so we wanted to make a film that celebrates life, and four days into shooting the impossible happens. An accident on a highway took my daughter away. Someone looking into his cell phone. And we miss her and I love her. And… sorry. Two months before we shot this movie and two months before she died, she was in Africa. She sent me a letter. And she'd just read the script and she was glowing with excitement. She loved this. And she felt seen by this. And she was supposed to be in this. And if anyone dares to believe that she's here with us somehow, she – you'll be able to see her clapping and cheering with us. We ended up making this movie for her, as her monument. So, Ida, this is a miracle that just happened. And you're a part of this miracle. Maybe you've been pulling some strings somewhere, I don't know, but this one is for you. Thank you very much.<br/>
</p>]"
